t,u1,u2,u3
0,0.958200075445002,0.523598775598299,0
0.02,0.958200075445002,0.523598775598299,0
0.04,0.958200075445002,0.523598775598299,0
0.06,0.958200075445002,0.523598775598299,0
0.08,0.958200075445002,0.523598775598299,0
0.1,0.958200075445002,0.523598775598299,0
0.12,0.958200075445002,0.523598775598299,0
0.14,0.958200075445002,0.523598775598299,0
0.16,0.958200075445002,0.523598775598299,0
0.18,0.958200075445002,0.523598775598299,0
0.2,0.958200075445002,0.523598775598299,0
0.22,0.958200075445002,0.523598775598299,0
0.24,0.958200075445002,0.523598775598299,0
0.26,0.958200075445002,0.523598775598299,1
0.28,0.958200075445002,0.523598775598299,1
0.3,0.958200075445002,0.523598775598299,1
0.32,0.958200075445002,0.523598775598299,1
0.34,0.958200075445002,0.523598775598299,1
0.36,0.958200075445002,0.523598775598299,1
0.38,0.958200075445002,0.523598775598299,1
0.4,0.958200075445002,0.523598775598299,1
0.42,0.958200075445002,0.523598775598299,1
0.44,0.958200075445002,0.523598775598299,1
0.46,0.958200075445002,0.523598775598299,1
0.48,0.958200075445002,0.523598775598299,1
0.5,0.958200075445002,0.523598775598299,1
0.52,0.958200075445002,0.523598775598299,1
0.54,0.958200075445002,0.523598775598299,1
0.56,0.958200075445002,0.523598775598299,1
0.58,0.958200075445002,0.523598775598299,1
0.6,0.958200075445002,0.523598775598299,1
0.62,0.958200075445002,0.523598775598299,1
0.64,0.958200075445002,0.523598775598299,1
0.66,0.958200075445002,0.523598775598299,1
0.68,0.958200075445002,0.523598775598299,0.00138806579901739
0.7,0.958200075445002,0.523598775598299,0
0.72,0.958200075445002,0.523598775598299,0
0.74,0.958200075445002,0.523598775598299,0
0.76,0.958200075445002,0.523598775598299,0
0.78,0.958200075445002,0.523598775598299,0
0.8,0.958200075445002,0.523598775598299,0
0.82,0.958200075445002,0.523598775598299,0
0.84,0.958200075445002,0.523598775598299,0
0.86,0.958200075445002,0.523598775598299,0
0.88,0.958200075445002,0.523598775598299,0
0.9,0.958200075445002,0.523598775598299,0.0988516168338391
0.92,0.958200075445002,0.523598775598299,1
0.94,0.958200075445002,0.523598775598299,1
0.96,0.958200075445002,0.523598775598299,1
0.98,0.958200075445002,0.523598775598299,1
1,0.958200075445002,0.523598775598299,1
1.02,0.958200075445002,0.523598775598299,1
1.04,0.958200075445002,0.523598775598299,1
1.06,0.958200075445002,0.523598775598299,1
1.08,0.958200075445002,0.523598775598299,1
1.1,0.958200075445002,0.523598775598299,0.813250300880823
1.12,0.958200075445002,0.523598775598299,0.417252427912193
1.14,0.958200075445002,0.523598775598299,0.145396544262405
1.16,0.958200075445002,0.523598775598299,0.00300410321976022
1.18,0.958200075445002,0.523598775598299,0
