t,u1,u2,u3
0,0.381163034026877,0.5235987755983,0.499988803404088
0.02,0.250974141823371,0.61904646906674,0.493123218752506
0.04,0.00230716630942426,0.801355824649204,0.451388801811355
0.06,-0.251528815254781,0.919578151498963,0.362960557770482
0.08,-0.468017425086517,0.921077538730447,0.270984051135385
0.1,-0.637280365859297,0.860167755169479,0.23345394375562
0.12,-0.762983202871621,0.785699164247822,0.270543116615952
0.14,-0.816044199565205,0.717753632739144,0.35345603730758
0.16,-0.686541074556219,0.662716063174372,0.439821652146449
0.18,-0.453344644162802,0.620941242969538,0.501043840538104
0.2,-0.305137434603388,0.590508986481963,0.526844168354111
0.22,-0.212681457584622,0.568958446044054,0.532044204805969
0.24,-0.232033618784939,0.554010236844921,0.527058678999716
0.26,-0.359508513630128,0.543804242805371,0.519510196995105
0.28,-0.45688135558465,0.536922338588509,0.511933915107995
0.3,-0.547843493346442,0.532328410516616,0.506432300511945
0.32,-0.658547807650311,0.52928720387282,0.503149822162976
0.34,-0.741078569383232,0.52728792326998,0.50137619554363
0.36,-0.806036244684681,0.52598139657246,0.500490295333281
0.38,-0.863610001038108,0.525131948813715,0.500100470097867
0.4,-0.903612329839437,0.524582133601996,0.499953561063671
0.42,-0.932131559857294,0.524227651832035,0.499919154649227
0.44,-0.948288700683738,0.523999899364758,0.499935858965765
0.46,-0.950986944245059,0.523854022108525,0.499961354401611
0.48,-0.952851148162772,0.52376084579801,0.49998188103645
0.5,-0.963491771538022,0.523701480215429,0.49999373529831
0.52,-0.979935934479831,0.5236637424083,0.500004227890992
0.54,-0.969279825671262,0.523639802683596,0.500007426752071
0.56,-0.958457566758932,0.523624644790486,0.500008217172899
0.58,-0.964934231300946,0.523615063964273,0.500007288291936
0.6,-0.969957504633522,0.523609017926765,0.500005210715599
0.62,-0.968399856900589,0.523605208189205,0.500003216781209
0.64,-0.964647627031781,0.52360281088867,0.500001871542334
0.66,-0.962752333396543,0.523601304298877,0.500001056167153
0.68,-0.962198585046357,0.523600358605551,0.500000556691768
0.7,-0.960054973470895,0.523599765649731,0.50000024281481
0.72,-0.958126489300424,0.523599394249848,0.500000139246313
0.74,-0.961520293663971,0.523599161849659,0.500000051114541
0.76,-0.961506216394387,0.523599016560955,0.499999937687465
0.78,-0.956076599427384,0.523598925810033,0.499999952377549
0.8,-0.958592401598036,0.523598869171072,0.499999993796614
0.82,-0.959650859899044,0.523598833849177,0.499999985490146
0.84,-0.957671224723886,0.5235988118374,0.499999993298401
0.86,-0.958008536064093,0.523598798129683,0.499999998192531
0.88,-0.958238683461437,0.523598789598892,0.499999999522655
0.9,-0.957589319289505,0.523598784293203,0.500000072702213
0.92,-0.95781400889926,0.523598780995317,0.499999998388673
0.94,-0.95975264134555,0.523598778946595,0.500000009982116
0.96,-0.95867372652666,0.523598777674571,0.499999998261531
0.98,-0.954522314638585,0.523598776885197,0.499999997914243
1,-0.960265580786738,0.52359877639558,0.499999988150388
1.02,-0.960086316665314,0.523598776092035,0.500000061939959
1.04,-0.956219919012469,0.523598775903932,0.499999999138914
1.06,-0.958613257221721,0.523598775787418,0.49999999824034
1.08,-0.958063391546855,0.523598775715278,0.499999998779043
1.1,-0.958375955983799,0.52359877567063,0.499999987272025
1.12,-0.958883288120882,0.523598775643007,0.49999999892433
1.14,-0.958088370628164,0.523598775625924,0.499999988773685
1.16,-0.958087002972295,0.523598775615363,0.499999997194005
1.18,-0.95832800819191,0.523598775608836,0.499999998953749
1.2,-0.95842388687329,0.523598775604804,0.499999999271413
1.22,-0.958386975409086,0.523598775602313,0.500000060817348
1.24,-0.958332072480523,0.523598775600776,0.499999998999817
1.26,-0.958312335377553,0.523598775599826,0.499999998997718
1.28,-0.958320688405828,0.523598775599241,0.499999999049366
1.3,-0.958333555435006,0.523598775598879,0.499999999000046
1.32,-0.958344346860214,0.523598775598657,0.499999999295079
1.34,-0.958344020066378,0.523598775598519,0.499999999002906
1.36,-0.958336310162731,0.523598775598435,0.499999999010607
1.38,-0.958331027063525,0.523598775598382,0.499999999003441
1.4,-0.958337187976043,0.52359877559835,0.500000000205588
1.42,-0.958332273722639,0.523598775598331,0.499999998999884
1.44,-0.958328806303521,0.523598775598318,0.499999982885395
1.46,-0.958331480541876,0.523598775598311,0.499999998999701
1.48,-0.95833115674281,0.523598775598306,0.499999999000262
