t,u1,u2,u3
0,-0.70665994337362,0.523598775598299,0.500007964800507
0.02,-0.546808699843878,0.523598775598299,0.496821170081392
0.04,-0.241476257013745,0.523598775598299,0.481080698748317
0.06,0.0702048172715269,0.523598775598299,0.456184843066442
0.08,0.336028284394592,0.523598775598299,0.449349778079458
0.1,0.352968866553555,0.523598775598299,0.483096540791589
0.12,0.142699313423853,0.523598775598299,0.524352910802332
0.14,-0.118708578964854,0.523598775598299,0.543398635682109
0.16,-0.358522829492107,0.523598775598299,0.544664909378104
0.18,-0.553304650350248,0.523598775598299,0.532878999858611
0.2,-0.660198526148047,0.523598775598299,0.51589195160993
0.22,-0.602952254128616,0.523598775598299,0.504822875594233
0.24,-0.428871566827387,0.523598775598299,0.500866555666408
0.26,-0.246420332532128,0.523598775598299,0.500072652732433
0.28,-0.108769938211984,0.523598775598299,0.499996507255269
0.3,-0.0257518820443446,0.523598775598299,0.499994058636957
0.32,0.0130054259860744,0.523598775598299,0.499988551548781
0.34,0.0229610170451228,0.523598775598299,0.499988620392405
0.36,0.0178913438684777,0.523598775598299,0.499994648769052
0.38,0.00772664057869678,0.523598775598299,0.499998781746586
0.4,-0.00162770312187856,0.523598775598299,0.499999914246622
0.42,-0.00754372606818151,0.523598775598299,0.500000245845596
0.44,-0.00960618333641316,0.523598775598299,0.500001507702864
0.46,-0.00863122415675683,0.523598775598299,0.500003356823573
0.48,-0.00591239907372165,0.523598775598299,0.500004483741446
0.5,-0.00271339180861001,0.523598775598299,0.500004148923451
0.52,2.94519505296157e-05,0.523598775598299,0.500002682246537
0.54,0.0017634425210967,0.523598775598299,0.500001021004488
0.56,0.00232283883418748,0.523598775598299,0.499999948060346
0.58,0.00184227200464444,0.523598775598299,0.499999691895283
0.6,0.000622490393891256,0.523598775598299,0.49999999834673
0.62,-0.000984130488723323,0.523598775598299,0.500000403851889
0.64,-0.00263905330075296,0.523598775598299,0.500000620336456
0.66,-0.00404551225028227,0.523598775598299,0.500000562031671
0.68,-0.00504145283515757,0.523598775598299,0.500000338114758
0.7,-0.00557474283752261,0.523598775598299,0.500000109314422
0.72,-0.00566790602106744,0.523598775598299,0.499999984713086
0.74,-0.0054070993390858,0.523598775598299,0.499999982408235
0.76,-0.00491383754386327,0.523598775598299,0.500000055272133
0.78,-0.00431338538975462,0.523598775598299,0.500000134391874
0.8,-0.00371410559458218,0.523598775598299,0.500000163378238
0.82,-0.00319968834412973,0.523598775598299,0.500000159072451
0.84,-0.00282879312070448,0.523598775598299,0.500000110140046
0.86,-0.00260942849599195,0.523598775598299,0.500000052471834
0.88,-0.00254212563618042,0.523598775598299,0.500000009537287
0.9,-0.00259890404248383,0.523598775598299,0.499999991157765
0.92,-0.00274350570934451,0.523598775598299,0.499999993841364
0.94,-0.00293962256814412,0.523598775598299,0.500000008288521
0.96,-0.00315708212173128,0.523598775598299,0.500000023259463
0.98,-0.00335592644736276,0.523598775598299,0.500000031931719
1,-0.00351094690015693,0.523598775598299,0.500000032435094
1.02,-0.00362103499082322,0.523598775598299,0.500000026449989
1.04,-0.00368887963629882,0.523598775598299,0.50000001737636
1.06,-0.00370558459266121,0.523598775598299,0.500000008796109
1.08,-0.0036886541054157,0.523598775598299,0.500000002421252
1.1,-0.00364616196345374,0.523598775598299,0.499999998737732
1.12,-0.00359013920143938,0.523598775598299,0.4999999973597
1.14,-0.00352706869156602,0.523598775598299,0.499999997521632
1.16,-0.00346141425617178,0.523598775598299,0.500000007681945
1.18,-0.00340954540615607,0.523598775598299,0.499999999046451
1.2,-0.00337479690155319,0.523598775598299,0.499999999499475
1.22,-0.0033535354882704,0.523598775598299,0.499999999649351
1.24,-0.0033439015239881,0.523598775598299,0.499999999517312
1.26,-0.00334830571047673,0.523598775598299,0.499999999355726
1.28,-0.00335416555004411,0.523598775598299,0.499999999189695
1.3,-0.00336164253255729,0.523598775598299,0.499999999090667
1.32,-0.00337015296871346,0.523598775598299,0.499999998844107
1.34,-0.00337911335175715,0.523598775598299,0.499999999022002
1.36,-0.00339399669812034,0.523598775598299,0.499999999007572
1.38,-0.00341496917527169,0.523598775598299,0.50000000680073
1.4,-0.00345039788314334,0.523598775598299,0.499999999004874
1.42,-0.00351236991981759,0.523598775598299,0.499999717163422
1.44,-0.0035882068971293,0.523598775598299,0.499999999019287
1.46,-0.00351935410430349,0.523598775598299,0.499999999000207
1.48,-0.00341038001793584,0.523598775598299,0.499999999000154
