time,seq,timestamp,field.header.frame_id,q,theta1,theta2,u1,u2,u3
1.49676829241776E+018,23528,1.49676829241442E+018,,0.3784614503,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829242175E+018,23529,1.49676829242042E+018,,0.3752681315,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829242982E+018,23530,1.49676829242642E+018,,0.3656885326,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829243388E+018,23531,1.49676829243242E+018,,0.3593022227,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829244219E+018,23532,1.49676829243842E+018,,0.3529157639,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967682924461E+018,23533,1.49676829244342E+018,,0.3433361351,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829245456E+018,23534,1.49676829244942E+018,,0.3369496763,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676829245856E+018,23535,1.49676829245642E+018,,0.3241770566,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829246687E+018,23536,1.49676829246242E+018,,0.311404109,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829247064E+018,23537,1.49676829246842E+018,,0.2986313403,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829247914E+018,23538,1.49676829247442E+018,,0.2890517414,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829248306E+018,23539,1.49676829248042E+018,,0.2730856538,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829249135E+018,23540,1.49676829248642E+018,,0.260312885,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829249546E+018,23541,1.49676829249242E+018,,0.2379604876,0.0063123689,1.0468498468,0,1.0471975803,0
1.49676829250385E+018,23542,1.49676829249942E+018,,0.225187555,0.0189291462,1.0468498468,0,1.0471975803,0
1.49676829250768E+018,23543,1.49676829250542E+018,,0.2092214823,0.0567796268,1.0586841106,0,1.0471975803,0
1.49676829251605E+018,23544,1.49676829251142E+018,,0.1868692338,0.4794430733,1.1060204506,0,1.0471975803,0
1.49676829252012E+018,23545,1.49676829251742E+018,,0.1677099913,0.4352842867,1.1947764158,0,1.0471975803,0
1.49676829252834E+018,23546,1.49676829252342E+018,,0.1517439187,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829253207E+018,23547,1.49676829252942E+018,,0.1293915212,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829254059E+018,23548,1.49676829253542E+018,,0.1102322862,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829254443E+018,23549,1.49676829254242E+018,,0.0910730511,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829255283E+018,23550,1.49676829254842E+018,,0.0719138086,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676829255679E+018,23551,1.49676829255442E+018,,0.0527545735,3.90668674299E-06,1.0468498468,0,1.0471975803,0
