time,seq,timestamp,field.header.frame_id,q,theta1,theta2,u1,u2,u3
1.49676836055929E+018,34664,1.49676836055559E+018,,0.3401428163,0.0126208318,1.0468498468,0,1.0471975803,0
1.4967683605634E+018,34665,1.49676836056159E+018,,0.3337566555,0.0883216485,1.0586841106,0,1.0471975803,0
1.49676836057184E+018,34666,1.49676836056759E+018,,0.3273701966,0.2775739133,1.0823523998,0,1.0471975803,0
1.49676836057558E+018,34667,1.49676836057359E+018,,0.3209837377,1.2301437855,1.1356056929,0,1.0471975803,0
1.49676836058396E+018,34668,1.49676836057959E+018,,0.311404109,3.90668674299E-06,0.98176229,0,1.0471975803,0
1.49676836058812E+018,34669,1.49676836058559E+018,,0.3050176501,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836059629E+018,34670,1.49676836059159E+018,,0.2954380512,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836060039E+018,34671,1.49676836059859E+018,,0.2890517414,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836060856E+018,34672,1.49676836060459E+018,,0.2762787938,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836061255E+018,34673,1.49676836061059E+018,,0.2635061741,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683606208E+018,34674,1.49676836061659E+018,,0.2507332563,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676836062494E+018,34675,1.49676836062259E+018,,0.2379604876,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676836063305E+018,34676,1.49676836062859E+018,,0.225187555,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836063723E+018,34677,1.49676836063459E+018,,0.2092214823,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836064548E+018,34678,1.49676836064159E+018,,0.1932556927,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836064932E+018,34679,1.49676836064759E+018,,0.17728962,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836065769E+018,34680,1.49676836065359E+018,,0.1645166874,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836066174E+018,34681,1.49676836065959E+018,,0.1453574598,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836066995E+018,34682,1.49676836066559E+018,,0.1293915212,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836067395E+018,34683,1.49676836067159E+018,,0.1134254411,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836068219E+018,34684,1.49676836067759E+018,,0.097459361,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676836068619E+018,34685,1.49676836068459E+018,,0.0814934298,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676836069462E+018,34686,1.49676836069059E+018,,0.0655274987,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676836069845E+018,34687,1.49676836069659E+018,,0.0463682599,0.0126208318,1.0468498468,0,1.0471975803,0
1.49676836070686E+018,34688,1.49676836070259E+018,,0.0304021817,0.0315460712,1.0527669191,0,1.0471975803,0
