field_header_stamp,field_servo1_position,field_u1
0.203000064,0,-0.785398185
0.214000128,0,-0.785398185
0.224,0,-0.785398185
0.234000128,0,-0.785398185
0.239000064,0,-0.785398185
0.249000192,0,-0.785398185
0.26,0,-0.785398185
0.265000192,-0.471238911,-0.785398185
0.270000128,-0.436332315,-0.785398185
0.28,-0.436332315,-0.785398185
0.284,-0.401425719,-0.785398185
0.3,-0.34906584,-0.785398185
0.305000192,-0.34906584,-0.785398185
0.315000064,-0.366519153,-0.785398185
0.32,-0.383972436,-0.785398185
0.330000128,-0.436332315,-0.785398185
0.335000064,-0.471238911,-0.785398185
0.341000192,-0.506145477,-0.785398185
0.346000128,-0.541052043,-0.785398185
0.356,-0.610865235,-0.785398185
0.361000192,-0.628318548,-0.785398185
0.371000064,-0.628318548,-0.785398185
0.376,-0.663225114,-0.785398185
0.382000128,-0.69813168,-0.785398185
0.392,-0.733038306,-0.785398185
0.402000128,-0.75049156,-0.785398185
0.407000064,-0.75049156,-0.785398185
0.417000192,-0.767944872,-0.785398185
0.422000128,-0.767944872,-0.785398185
0.433000192,-0.785398185,-0.785398185
0.443000064,-0.785398185,-0.785398185
0.448,-0.785398185,-0.785398185
0.458000128,-0.785398185,-0.785398185
0.469000192,-0.785398185,-0.785398185
0.474000128,-0.785398185,-0.785398185
0.484,-0.785398185,-0.785398185
0.489000192,-0.785398185,-0.785398185
0.494000128,-0.785398185,-0.785398185
0.504,-0.802851439,-0.785398185
0.510000128,-0.802851439,-0.785398185
0.52,-0.785398185,-0.785398185
0.525000192,-0.785398185,-0.785398185
0.530000128,-0.802851439,-0.785398185
0.535000064,-0.785398185,-0.785398185
0.544,-0.802851439,-0.785398185
0.549000192,-0.802851439,-0.785398185
0.555000064,-0.785398185,-0.785398185
0.565000192,-0.802851439,-0.785398185
0.575000064,-0.785398185,-0.785398185
0.585000192,-0.802851439,-0.785398185
0.590000128,-0.785398185,-0.785398185
0.601000192,-0.802851439,-0.785398185
0.611000064,-0.785398185,-0.785398185
0.616,-0.802851439,-0.785398185
0.621000192,-0.802851439,-0.785398185
0.631000064,-0.802851439,-0.785398185
0.642000128,-0.802851439,-0.785398185
0.647000064,-0.802851439,-0.785398185
0.657000192,-0.785398185,-0.785398185
0.662000128,-0.802851439,-0.785398185
0.672,-0.802851439,-0.785398185
0.677000192,-0.785398185,-0.785398185
0.688,-0.802851439,-0.785398185
0.698000128,-0.802851439,-0.785398185
0.703000064,-0.802851439,-0.785398185
0.713000192,-0.785398185,-0.785398185
0.718000128,-0.802851439,-0.785398185
0.729000192,-0.802851439,-0.785398185
0.739000064,-0.785398185,-0.785398185
0.754000128,-0.785398185,-0.785398185
0.759000064,-0.785398185,-0.785398185
0.764,-0.802851439,-0.785398185
0.78,-0.785398185,-0.785398185
0.785000192,-0.802851439,-0.785398185
0.795000064,-0.785398185,-0.785398185
0.8,-0.785398185,-0.785398185
0.810000128,-0.802851439,-0.785398185
0.82,-0.802851439,-0.785398185
0.825000192,-0.802851439,-0.785398185
0.830000128,-0.802851439,-0.785398185
0.84,-0.802851439,-0.785398185
0.845000192,-0.802851439,-0.785398185
0.851000064,-0.802851439,-0.785398185
0.861000192,-0.785398185,-0.785398185
0.866000128,-0.802851439,-0.785398185
0.876,-0.785398185,-0.785398185
0.886000128,-0.802851439,-0.785398185
0.891000064,-0.785398185,-0.785398185
0.902000128,-0.785398185,-0.785398185
0.907000064,-0.802851439,-0.785398185
0.917000192,-0.785398185,-0.785398185
0.922000128,-0.785398185,-0.785398185
0.927000064,-0.802851439,-0.785398185
0.938000128,-0.785398185,-0.785398185
0.943000064,-0.802851439,-0.785398185
0.948,-0.802851439,-0.785398185
0.953000192,-0.785398185,-0.785398185
0.958000128,-0.802851439,-0.785398185
0.968,-0.802851439,-0.785398185
0.973000192,-0.785398185,-0.785398185
0.989000192,-0.785398185,-0.785398185
0.994000128,-0.802851439,-0.785398185
1.004,-0.785398185,-0.785398185
1.009000192,-0.802851439,-0.785398185
1.019000064,-0.785398185,-0.785398185
1.025000192,-0.802851439,-0.785398185
1.030000128,-0.802851439,-0.785398185
1.04,-0.785398185,-0.785398185
1.050000128,-0.802851439,-0.785398185
1.055000064,-0.785398185,-0.785398185
1.065000192,-0.802851439,-0.785398185
1.070000128,-0.802851439,-0.785398185
1.075000064,-0.802851439,-0.785398185
1.085000192,-0.802851439,-0.785398185
1.090000128,-0.785398185,-0.785398185
1.095000064,-0.785398185,-0.785398185
1.1,-0.785398185,-0.785398185
1.111000064,-0.802851439,-0.785398185
1.116,-0.785398185,-0.785398185
1.126000128,-0.802851439,-0.785398185
1.136,-0.785398185,-0.785398185
1.141000192,-0.785398185,-0.785398185
1.152,-0.802851439,-0.785398185
1.157000192,-0.785398185,-0.785398185
1.167000064,-0.802851439,-0.785398185
1.172,-0.802851439,-0.785398185
1.177000192,-0.785398185,-0.785398185
1.182000128,-0.785398185,-0.785398185
1.193000192,-0.785398185,-0.785398185
1.198000128,-0.785398185,-0.785398185
1.203000064,-0.802851439,-0.785398185
1.208,-0.802851439,-0.785398185
1.213000192,-0.785398185,-0.785398185
1.218000128,-0.802851439,-0.785398185
1.223000064,-0.802851439,-0.785398185
1.233000192,-0.785398185,-0.785398185
1.239000064,-0.785398185,-0.785398185
1.249000192,-0.802851439,-0.785398185
1.259000064,-0.785398185,-0.785398185
1.264,-0.802851439,-0.785398185
1.269000192,-0.785398185,-0.785398185
1.274000128,-0.785398185,-0.785398185
1.28,-0.785398185,-0.785398185
