field_header_stamp,field_servo1_position,field_u1
0.204,0,-0.52359879
0.214000128,0,-0.52359879
0.219000064,0,-0.52359879
0.234000128,0,-0.52359879
0.24,0,-0.52359879
0.244999936,0,-0.52359879
0.255000064,0,-0.52359879
0.26,0,-0.52359879
0.264999936,-0.436332315,-0.52359879
0.275000064,-0.453785598,-0.52359879
0.280999936,-0.453785598,-0.52359879
0.291000064,-0.383972436,-0.52359879
0.300999936,-0.34906584,-0.52359879
0.306000128,-0.34906584,-0.52359879
0.315000064,-0.366519153,-0.52359879
0.32,-0.366519153,-0.52359879
0.331000064,-0.418879032,-0.52359879
0.336,-0.366519153,-0.52359879
0.340999936,-0.401425719,-0.52359879
0.351000064,-0.453785598,-0.52359879
0.360999936,-0.488692194,-0.52359879
0.367000064,-0.488692194,-0.52359879
0.372,-0.488692194,-0.52359879
0.382000128,-0.506145477,-0.52359879
0.387000064,-0.506145477,-0.52359879
0.392,-0.506145477,-0.52359879
0.408,-0.52359879,-0.52359879
0.412999936,-0.52359879,-0.52359879
0.423000064,-0.52359879,-0.52359879
