%time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.u1,field.u2,field.u3
1.49436E+18,529688,1.49436E+18,,579,0,0,0,0,0
1.49436E+18,529688,1.49436E+18,,579,0,0,0,0,0
1.49436E+18,529689,1.49436E+18,,592,0,0,0,0,0
1.49436E+18,529691,1.49436E+18,,580,0,0,0,0,0
1.49436E+18,529692,1.49436E+18,,580,0,0,0,0,0
1.49436E+18,529693,1.49436E+18,,593,0,0,0,0,0
1.49436E+18,529695,1.49436E+18,,579,0,0,0,0,0
1.49436E+18,529696,1.49436E+18,,581,0,0,0,0,0
1.49436E+18,529698,1.49436E+18,,592,0,0,0,0,0
1.49436E+18,529699,1.49436E+18,,579,0,0,0,0,0
1.49436E+18,529700,1.49436E+18,,581,0,0,0,0,0
1.49436E+18,529701,1.49436E+18,,594,0,0,0,0,0
1.49436E+18,529702,1.49436E+18,,591,0,0,0,0,0
1.49436E+18,529703,1.49436E+18,,578,0,0,0,0,0
1.49436E+18,529704,1.49436E+18,,582,0,0,0,0,0
1.49436E+18,529706,1.49436E+18,,590,0,0,0,0,0
1.49436E+18,529707,1.49436E+18,,577,0,0,0,0,0
1.49436E+18,529708,1.49436E+18,,583,0,0,0,0,0
1.49436E+18,529709,1.49436E+18,,595,0,0,0,0,0
1.49436E+18,529711,1.49436E+18,,577,0,0,0,0,0
1.49436E+18,529712,1.49436E+18,,583,0,0,0,0,0
1.49436E+18,529713,1.49436E+18,,596,0,0,0,0,0
1.49436E+18,529714,1.49436E+18,,588,0,0,0,0,0
1.49436E+18,529716,1.49436E+18,,585,0,0,0,0,0
1.49436E+18,529717,1.49436E+18,,596,0,0,0,0,0
1.49436E+18,529718,1.49436E+18,,587,0,0,0,0,0
1.49436E+18,529720,1.49436E+18,,586,0,0,0,0,0
1.49436E+18,529721,1.49436E+18,,596,0,0,0,0,0
1.49436E+18,529722,1.49436E+18,,586,0,0,0,0,0
1.49436E+18,529724,1.49436E+18,,587,0,0,0,0,0
1.49436E+18,529725,1.49436E+18,,596,0,0,0,0,0
1.49436E+18,529728,1.49436E+18,,588,0,0,0.52359879,0,0
1.49436E+18,529729,1.49436E+18,,596,0,0,0.52359879,0,0
