time,seq,timestamp,field.header.frame_id,q,theta1,theta2,u1,u2,u3
1.49676834676894E+018,32410,1.49676834676394E+018,,0.2762787938,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834677269E+018,32411,1.49676834676994E+018,,0.2730856538,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834678092E+018,32412,1.49676834677594E+018,,0.2698923349,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683467852E+018,32413,1.49676834678194E+018,,0.2666993439,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834679336E+018,32414,1.49676834678894E+018,,0.2635061741,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676834679756E+018,32415,1.49676834679494E+018,,0.2571197152,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834680556E+018,32416,1.49676834680094E+018,,0.2507332563,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683468096E+018,32417,1.49676834680694E+018,,0.2443467975,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834681794E+018,32418,1.49676834681294E+018,,0.2379604876,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676834682195E+018,32419,1.49676834681894E+018,,0.2315740138,3.90668674299E-06,1.0409328938,0,1.0471975803,0
1.49676834683016E+018,32420,1.49676834682494E+018,,0.2219944,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834683427E+018,32421,1.49676834683194E+018,,0.2124147862,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834684249E+018,32422,1.49676834683794E+018,,0.2028351575,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834684663E+018,32423,1.49676834684394E+018,,0.1932556927,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834685487E+018,32424,1.49676834684994E+018,,0.1836759299,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834685878E+018,32425,1.49676834685594E+018,,0.1709031463,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834686688E+018,32426,1.49676834686194E+018,,0.1613235325,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834687102E+018,32427,1.49676834686694E+018,,0.1517439187,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683468752E+018,32428,1.49676834687394E+018,,0.138970986,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834688343E+018,32429,1.49676834687994E+018,,0.1261983663,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834688744E+018,32430,1.49676834688594E+018,,0.1134254411,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834689576E+018,32431,1.49676834689194E+018,,0.1006526649,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834689972E+018,32432,1.49676834689794E+018,,0.0878797397,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834690809E+018,32433,1.49676834690394E+018,,0.075106971,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834691203E+018,32434,1.49676834690994E+018,,0.0655274987,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834692021E+018,32435,1.49676834691694E+018,,0.0527545735,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834692421E+018,32436,1.49676834692294E+018,,0.0399818011,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834693267E+018,32437,1.49676834692894E+018,,0.0272088759,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834693656E+018,32438,1.49676834693494E+018,,0.0144361006,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834694514E+018,32439,1.49676834694094E+018,,0.0016631769,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834694892E+018,32440,1.49676834694694E+018,,-0.0047229873,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834695707E+018,32441,1.49676834695294E+018,,-0.0174959116,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834696124E+018,32442,1.49676834695994E+018,,-0.0302686859,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834696944E+018,32443,1.49676834696594E+018,,-0.0398483053,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683469735E+018,32444,1.49676834697194E+018,,-0.0526212268,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683469818E+018,32445,1.49676834697794E+018,,-0.0590076894,1.2553776503,1.1947764158,0,1.0471975803,0
1.49676834698582E+018,32446,1.49676834698394E+018,,-0.0717803165,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834699423E+018,32447,1.49676834698994E+018,,-0.0813599378,3.90668674299E-06,1.0468498468,0,1.0471975803,0
