%time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.u1,field.u2,field.u3
1497472933678247298,266,1497472933672641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933686230654,267,1497472933678641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933690569180,268,1497472933684641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933698655628,269,1497472933691641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933702421711,270,1497472933697641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933711276764,271,1497472933703641984,,-0.452571690083,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933715678019,272,1497472933709641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933724450153,273,1497472933715641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933727847158,274,1497472933721641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933735386273,275,1497472933727641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933773000156,276,1497472933734641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933773176710,277,1497472933740641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933773436259,278,1497472933746641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933773438095,279,1497472933752641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933773751134,280,1497472933758641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933773760552,281,1497472933764641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933776221398,282,1497472933770641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933784380040,283,1497472933777641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933788308021,284,1497472933783641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933796715506,285,1497472933789641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933800681753,286,1497472933795641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933809069241,287,1497472933801641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933813630786,288,1497472933807641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933821844816,289,1497472933813641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933826148455,290,1497472933820641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933834148660,291,1497472933826641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
1497472933838220054,292,1497472933832641984,,-0.458692282438,-1.92962002754,-0.879580020905,0.539306759834,0.0,0.0
